Spacing Modifier Letters,U+02B0,U+02FF,0
Specials,U+FFF0,U+FFFF,0
Sundanese,U+1B80,U+1BBF,0
Superscripts and Subscripts,U+2070,U+209F,0
Supplemental Arrows-A,U+27F0,U+27FF,0
Supplemental Arrows-B,U+2900,U+297F,0
Supplemental Mathematical Operators,U+2A00,U+2AFF,0
Supplemental Punctuation,U+2E00,U+2E7F,0
Syloti Nagri,U+A800,U+A82F,0
Syriac,U+0700,U+074F,0
Tagalog,U+1700,U+171F,0
Tagbanwa,U+1760,U+177F,0
Tai Le,U+1950,U+197F,0
Tai Tham,U+1A20,U+1AAF,0
Tai Viet,U+AA80,U+AADF,0
Tamil,U+0B80,U+0BFF,0
Telugu,U+0C00,U+0C7F,0
Thaana,U+0780,U+07BF,0
Thai,U+0E00,U+0E7F,0
Tibetan,U+0F00,U+0FFF,0
Tifinagh,U+2D30,U+2D7F,0
Unified Canadian Aboriginal Syllabics,U+1400,U+167F,0
Unified Canadian Aboriginal Syllabics Extended,U+18B0,U+18FF,0
Vai,U+A500,U+A63F,0
Variation Selectors,U+FE00,U+FE0F,0
Vedic Extensions,U+1CD0,U+1CFF,0
Vertical Forms,U+FE10,U+FE1F,0
Yi Radicals,U+A490,U+A4CF,0
Yi Syllables,U+A000,U+A48F,0
Yijing Hexagram Symbols,U+4DC0,U+4DFF,0
